kod,nazev,registrovani,obalky,platne,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,Národ Sobě
549908,Újezd u Tišnova,108,70,69,1,0,0,7,0,4,8,2,0,0,1,0,3,0,2,18,0,0,13,0,0,0,0,10,0,0
582565,Unín,196,130,130,17,0,0,3,0,12,16,0,0,3,0,0,14,0,7,33,0,1,3,0,0,0,0,21,0,0
584061,Unkovice,588,384,384,37,1,0,38,1,9,34,3,6,8,0,2,40,0,10,105,0,1,36,0,7,5,1,38,2,0
584070,Úsuší,106,80,80,7,0,0,13,0,0,9,0,0,4,0,0,3,0,1,20,0,0,10,0,0,0,0,12,0,1
584096,Velatice,553,430,426,59,1,1,23,0,16,10,7,1,10,1,2,32,0,15,57,1,0,133,0,4,0,1,52,0,0
584100,Veverská Bítýška,2507,1624,1612,183,0,3,110,3,73,110,25,6,32,1,8,154,2,81,442,2,3,146,0,11,4,0,211,1,1
584118,Veverské Knínice,747,464,462,50,0,1,27,1,22,56,8,7,3,0,1,48,0,20,133,0,1,18,0,5,1,0,57,2,1
584126,Viničné Šumice,1021,765,762,92,0,0,72,0,47,55,15,4,4,2,2,64,0,55,150,0,0,103,0,4,5,0,87,0,1
585025,Vlasatice,707,355,351,39,1,0,32,0,9,33,3,3,1,1,0,15,0,13,136,0,1,19,0,3,1,1,40,0,0
584134,Vohančice,147,95,94,15,0,0,4,0,3,2,0,0,1,0,0,6,0,7,36,0,1,4,0,0,0,0,15,0,0
584142,Vojkovice,922,618,614,129,0,0,46,0,20,35,8,9,10,0,2,51,0,35,162,0,4,28,0,3,1,0,68,1,2
584151,Vranov,608,435,432,63,0,2,37,1,11,24,6,1,8,0,0,49,1,32,89,0,6,48,0,4,1,0,49,0,0
585033,Vranovice,1888,1131,1120,133,1,2,64,2,38,76,22,5,13,2,5,91,1,41,381,0,0,86,0,7,2,2,142,4,0
597104,Vratislávka,79,54,54,5,0,0,4,0,3,1,3,0,1,0,0,6,0,0,16,0,0,13,0,0,0,0,2,0,0
584169,Všechovice,194,128,128,16,0,0,5,2,12,9,1,0,5,0,0,21,0,2,37,0,0,6,0,0,0,0,11,1,0
584177,Vysoké Popovice,556,390,388,36,1,0,33,0,6,41,4,4,11,0,0,20,1,12,127,0,1,50,0,3,0,1,37,0,0
584185,Zakřany,625,368,368,26,1,0,26,0,5,26,4,5,5,0,0,32,0,9,140,1,0,44,1,2,2,0,38,0,1
584193,Zálesná Zhoř,50,38,38,0,0,0,5,0,0,3,0,0,2,0,0,3,0,0,18,0,0,5,0,0,0,0,2,0,0
584207,Zastávka,2041,1205,1193,123,3,1,105,0,42,162,21,10,13,1,1,95,3,38,392,0,2,47,0,7,1,0,124,2,0
584215,Zbraslav,1018,666,664,81,0,1,46,1,23,82,6,3,9,1,3,59,1,21,183,1,3,62,0,6,2,0,69,1,0
584223,Zbýšov,3075,1692,1678,146,3,2,156,2,34,288,18,14,23,2,3,103,3,51,496,0,4,70,1,9,7,3,232,7,1
582735,Zhoř,52,42,42,3,0,0,2,0,4,3,0,1,0,0,0,7,0,0,8,0,0,9,0,0,0,0,5,0,0
584231,Žabčice,1293,867,864,125,0,0,65,0,17,66,12,6,14,0,2,69,1,27,295,0,1,64,0,4,5,0,91,0,0
584240,Žatčany,662,464,464,25,1,0,19,0,16,43,3,1,12,0,1,37,0,9,112,0,0,124,0,1,0,0,59,1,0
597171,Žďárec,294,218,218,5,0,0,10,0,8,28,4,4,3,0,0,16,0,12,40,0,0,66,0,4,0,1,13,4,0
584266,Želešice,1309,901,894,145,0,0,69,0,24,53,13,4,12,2,2,88,1,48,236,0,3,57,0,10,6,3,115,3,0
584274,Železné,371,281,279,33,0,1,17,0,43,18,10,1,4,1,2,26,0,13,74,0,0,15,0,0,0,0,21,0,0
584282,Židlochovice,2800,1818,1805,238,0,1,112,2,66,116,34,7,49,1,5,158,0,172,511,5,3,76,1,8,12,1,224,2,1
